Survey Years,Sex,Age Group,Race and Hispanic Origin,Measure,Percent,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Presentation Standard,Note1,Note2,Notea,Noteb
2011-2012,All,2-11,Hispanic,Untreated Dental Caries in Primary Teeth,20.8,2.7,15.2,27.4,,,,,
2011-2012,All,2-11,Mexican American,Untreated Dental Caries in Primary Teeth,21.8,2.6,16.3,28.1,,,,,
2011-2012,All,6-19,All,Untreated Dental Caries in Permanent Teeth,11.5,0.9,9.7,13.4,,,,,
2011-2012,Male,6-19,All,Untreated Dental Caries in Permanent Teeth,12.4,1.2,9.9,15.2,,,,,
2011-2012,Female,6-19,All,Untreated Dental Caries in Permanent Teeth,10.5,1.4,7.6,14.0,,,,,
2011-2012,All,6-11,All,Untreated Dental Caries in Permanent Teeth,5.7,0.9,4.1,7.8,,,,,
2011-2012,Male,6-11,All,Untreated Dental Caries in Permanent Teeth,5.6,0.9,3.9,7.8,,,,,
2011-2012,Female,6-11,All,Untreated Dental Caries in Permanent Teeth,5.9,1.2,3.6,9.1,,,,,
2011-2012,All,12-19,All,Untreated Dental Caries in Permanent Teeth,15.5,1.5,12.3,19.1,,,,,
2011-2012,Male,12-19,All,Untreated Dental Caries in Permanent Teeth,17.1,2.1,12.8,22.1,,,,,
2011-2012,Female,12-19,All,Untreated Dental Caries in Permanent Teeth,13.8,2.9,8.3,21.2,,,,,
2011-2012,All,6-19,Non-Hispanic White,Untreated Dental Caries in Permanent Teeth,9.7,1.0,7.3,12.4,,,,,
2011-2012,All,6-19,Non-Hispanic Black,Untreated Dental Caries in Permanent Teeth,15.4,2.0,11.4,20.1,,,,,
2011-2012,All,6-19,Non-Hispanic Asian,Untreated Dental Caries in Permanent Teeth,9.5,2.3,5.2,15.6,,,,,
2011-2012,All,6-19,Hispanic,Untreated Dental Caries in Permanent Teeth,14.1,2.2,9.7,19.5,,,,,
2011-2012,All,6-19,Mexican American,Untreated Dental Caries in Permanent Teeth,15.9,2.4,11.0,21.9,,,,,
2011-2012,All,20-69,All,Untreated Dental Caries in Permanent Teeth,25.4,1.9,21.5,29.7,,,,,
2011-2012,Male,20-69,All,Untreated Dental Caries in Permanent Teeth,28.6,2.1,24.1,33.4,,,,,
2011-2012,Female,20-69,All,Untreated Dental Caries in Permanent Teeth,22.4,2.1,18.0,27.2,,,,,
2011-2012,All,20-29,All,Untreated Dental Caries in Permanent Teeth,28.0,3.0,21.9,34.9,,,,,
2011-2012,Male,20-29,All,Untreated Dental Caries in Permanent Teeth,28.8,4.0,20.5,38.2,,,,,
2011-2012,Female,20-29,All,Untreated Dental Caries in Permanent Teeth,27.3,3.4,20.2,35.2,,,,,
2011-2012,All,30-39,All,Untreated Dental Caries in Permanent Teeth,27.8,2.9,21.9,34.4,,,,,
2011-2012,Male,30-39,All,Untreated Dental Caries in Permanent Teeth,29.1,4.4,20.1,39.5,,,,,
2011-2012,Female,30-39,All,Untreated Dental Caries in Permanent Teeth,26.6,2.8,20.8,33.0,,,,,
2011-2012,All,40-49,All,Untreated Dental Caries in Permanent Teeth,25.5,2.8,19.7,32.1,,,,,
2011-2012,Male,40-49,All,Untreated Dental Caries in Permanent Teeth,28.6,2.4,23.7,33.9,,,,,
2011-2012,Female,40-49,All,Untreated Dental Caries in Permanent Teeth,22.4,3.7,15.1,31.4,,,,,
2011-2012,All,50-59,All,Untreated Dental Caries in Permanent Teeth,26.9,3.0,20.7,33.8,,,,,
2011-2012,Male,50-59,All,Untreated Dental Caries in Permanent Teeth,35.4,4.0,27.0,44.5,,,,,
2011-2012,Female,50-59,All,Untreated Dental Caries in Permanent Teeth,18.7,3.8,11.4,28.1,,,,,
2011-2012,All,60-69,All,Untreated Dental Caries in Permanent Teeth,21.4,1.5,18.3,24.9,,,,,
2011-2012,Male,60-69,All,Untreated Dental Caries in Permanent Teeth,22.6,2.4,17.7,28.1,,,,,
2011-2012,Female,60-69,All,Untreated Dental Caries in Permanent Teeth,20.3,1.9,16.2,25.0,,,,,
2011-2012,All,20-69,Non-Hispanic White,Untreated Dental Caries in Permanent Teeth,20.8,7.9,15.5,27.0,,,,,
2011-2012,All,20-69,Non-Hispanic Black,Untreated Dental Caries in Permanent Teeth,41.9,8.9,35.6,48.5,,,,,
2011-2012,All,20-69,Non-Hispanic Asian,Untreated Dental Caries in Permanent Teeth,18.1,1.9,14.3,22.4,,,,,
2011-2012,All,20-69,Hispanic,Untreated Dental Caries in Permanent Teeth,35.0,5.5,29.2,41.1,,,,,
2011-2012,All,20-69,Mexican American,Untreated Dental Caries in Permanent Teeth,40.0,2.8,34.0,46.3,,,,,
2013-2014,All,2-11,All,Total Dental Caries in Primary Teeth,38.9,2.4,33.8,44.2,,,,,
2013-2014,Male,2-11,All,Total Dental Caries in Primary Teeth,41.0,2.4,35.9,46.4,,,,,
2013-2014,Female,2-11,All,Total Dental Caries in Primary Teeth,36.5,3.2,29.6,43.9,,,,,
2013-2014,All,2-5,All,Total Dental Caries in Primary Teeth,24.2,2.0,20.0,28.8,,,,,
2013-2014,Male,2-5,All,Total Dental Caries in Primary Teeth,23.6,2.4,18.6,29.3,,,,,
2013-2014,Female,2-5,All,Total Dental Caries in Primary Teeth,24.8,3.0,18.7,31.7,,,,,
2013-2014,All,6-11,All,Total Dental Caries in Primary Teeth,49.9,3.0,43.4,56.5,,,,,
2013-2014,Male,6-11,All,Total Dental Caries in Primary Teeth,53.7,3.3,46.3,60.9,,,,,
2013-2014,Female,6-11,All,Total Dental Caries in Primary Teeth,45.8,4.5,35.9,55.9,,,,,
2013-2014,All,2-11,Non-Hispanic White,Total Dental Caries in Primary Teeth,32.1,3.2,25.4,39.3,,,,,
2013-2014,All,2-11,Non-Hispanic Black,Total Dental Caries in Primary Teeth,38.8,1.4,34.6,43.2,,,,,
2013-2014,All,2-11,Non-Hispanic Asian,Total Dental Caries in Primary Teeth,46.4,4.4,36.8,56.2,,,,,
2013-2014,All,2-11,Hispanic,Total Dental Caries in Primary Teeth,52.1,2.6,46.3,57.8,,,,,
2013-2014,All,2-11,Mexican American,Total Dental Caries in Primary Teeth,55.6,2.8,49.2,61.9,,,,,
2013-2014,All,6-19,All,Total Dental Caries in Permanent Teeth,39.4,1.4,36.4,42.4,,,,,
2013-2014,Male,6-19,All,Total Dental Caries in Permanent Teeth,37.5,1.4,34.5,40.6,,,,,
2013-2014,Female,6-19,All,Total Dental Caries in Permanent Teeth,41.3,2.2,36.4,46.2,,,,,
2013-2014,All,6-11,All,Total Dental Caries in Permanent Teeth,16.0,1.6,12.8,19.7,,,,,
2013-2014,Male,6-11,All,Total Dental Caries in Permanent Teeth,14.8,2.1,10.6,19.9,,,,,
2013-2014,Female,6-11,All,Total Dental Caries in Permanent Teeth,17.3,2.1,13.0,22.4,,,,,
2013-2014,All,12-19,All,Total Dental Caries in Permanent Teeth,55.7,2.1,51.2,60.2,,,,,
2013-2014,Male,12-19,All,Total Dental Caries in Permanent Teeth,53.2,2.0,49.0,57.4,,,,,
2013-2014,Female,12-19,All,Total Dental Caries in Permanent Teeth,58.3,3.0,51.7,64.8,,,,,
2013-2014,All,6-19,Non-Hispanic White,Total Dental Caries in Permanent Teeth,37.7,1.9,33.7,41.9,,,,,
2013-2014,All,6-19,Non-Hispanic Black,Total Dental Caries in Permanent Teeth,40.7,2.0,36.4,45.1,,,,,
2013-2014,All,6-19,Non-Hispanic Asian,Total Dental Caries in Permanent Teeth,29.1,2.1,23.5,35.2,,,,,
2013-2014,All,6-19,Hispanic,Total Dental Caries in Permanent Teeth,45.9,3.7,37.9,54.1,,,,,
2013-2014,All,6-19,Mexican American,Total Dental Caries in Permanent Teeth,48.5,4.9,37.7,59.4,,,,,
2013-2014,All,20-69,All,Total Dental Caries in Permanent Teeth,92.3,0.5,91.1,93.4,,,,,
2013-2014,Male,20-69,All,Total Dental Caries in Permanent Teeth,91.1,0.6,89.6,92.4,,,,,
2013-2014,Female,20-69,All,Total Dental Caries in Permanent Teeth,93.5,0.7,92.0,94.9,,,,,
2013-2014,All,20-29,All,Total Dental Caries in Permanent Teeth,80.0,1.8,75.9,83.7,,,,,
2013-2014,Male,20-29,All,Total Dental Caries in Permanent Teeth,76.8,2.7,70.4,82.4,,,,,
2013-2014,Female,20-29,All,Total Dental Caries in Permanent Teeth,83.3,2.1,78.4,87.5,,,,,
2013-2014,All,30-39,All,Total Dental Caries in Permanent Teeth,89.8,1.5,86.1,92.8,,,,,
2013-2014,Male,30-39,All,Total Dental Caries in Permanent Teeth,90.7,1.7,86.5,94.0,,,,,
2013-2014,Female,30-39,All,Total Dental Caries in Permanent Teeth,88.9,1.7,84.7,92.2,,,,,
2013-2014,All,40-49,All,Total Dental Caries in Permanent Teeth,95.6,0.8,93.6,97.1,,,,,
2013-2014,Male,40-49,All,Total Dental Caries in Permanent Teeth,94.8,1.1,92.0,96.8,,,,,
2013-2014,Female,40-49,All,Total Dental Caries in Permanent Teeth,96.3,0.8,94.2,97.9,,,,,
2013-2014,All,50-59,All,Total Dental Caries in Permanent Teeth,97.8,0.5,96.5,98.7,,,,,
2013-2014,Male,50-59,All,Total Dental Caries in Permanent Teeth,97.4,0.8,94.9,98.9,,,,,
2013-2014,Female,50-59,All,Total Dental Caries in Permanent Teeth,98.2,0.6,96.4,99.3,,,,,
2013-2014,All,60-69,All,Total Dental Caries in Permanent Teeth,97.8,0.6,96.2,98.8,,,,,
2013-2014,Male,60-69,All,Total Dental Caries in Permanent Teeth,96.9,1.0,93.9,98.7,,,,,
2013-2014,Female,60-69,All,Total Dental Caries in Permanent Teeth,98.6,0.4,96.8,99.5,,,,,
2013-2014,All,20-69,Non-Hispanic White,Total Dental Caries in Permanent Teeth,93.7,1.9,92.2,94.9,,,,,
2013-2014,All,20-69,Non-Hispanic Black,Total Dental Caries in Permanent Teeth,90.0,3.8,87.0,92.6,,,,,
2013-2014,All,20-69,Non-Hispanic Asian,Total Dental Caries in Permanent Teeth,85.1,2.3,79.4,89.8,,,,,
2013-2014,All,20-69,Hispanic,Total Dental Caries in Permanent Teeth,90.2,1.4,88.3,91.9,,,,,
2013-2014,All,20-69,Mexican American,Total Dental Caries in Permanent Teeth,90.4,1.0,87.8,92.5,,,,,
2013-2014,All,60 and over,All,Complete Tooth Loss,14.1,15.0,10.0,19.1,,,,,
2013-2014,Male,60 and over,All,Complete Tooth Loss,14.8,15.0,9.7,21.3,,,,,
2013-2014,Female,60 and over,All,Complete Tooth Loss,13.5,15.0,9.8,18.0,,,,,
2013-2014,All,60-69,All,Complete Tooth Loss,9.6,15.0,6.1,14.3,,,,,
2013-2014,Male,60-69,All,Complete Tooth Loss,11.8,15.0,6.7,18.7,,,,,
2013-2014,Female,60-69,All,Complete Tooth Loss,7.6,15.0,4.9,11.1,,,,,
2013-2014,All,70 and over,All,Complete Tooth Loss,19.4,15.0,14.2,25.5,,,,,
2013-2014,Male,70 and over,All,Complete Tooth Loss,18.7,15.0,12.8,26.0,,,,,
2013-2014,Female,70 and over,All,Complete Tooth Loss,19.9,15.0,14.8,25.9,,,,,
2013-2014,All,60 and over,Non-Hispanic White,Complete Tooth Loss,13.1,15.0,8.6,19.0,,,,,
2013-2014,All,60 and over,Non-Hispanic Black,Complete Tooth Loss,23.3,13.0,16.8,30.8,,,,,
2013-2014,All,60 and over,Non-Hispanic Asian,Complete Tooth Loss,8.9,9.0,4.2,16.0,Estimate does not meet National Center for Health Statistics standards of reliability,,,,
2013-2014,All,60 and over,Hispanic,Complete Tooth Loss,12.8,13.0,9.4,17.0,,,,,
2013-2014,All,60 and over,Mexican American,Complete Tooth Loss,10.9,7.0,6.5,17.0,Estimate does not meet National Center for Health Statistics standards of reliability,,,,
2013-2014,All,2-11,All,Untreated Dental Caries in Primary Teeth,13.8,1.3,11.1,16.9,,,,,
2013-2014,Male,2-11,All,Untreated Dental Caries in Primary Teeth,13.3,1.5,10.3,16.8,,,,,
2013-2014,Female,2-11,All,Untreated Dental Caries in Primary Teeth,14.4,2.0,10.3,19.2,,,,,
2013-2014,All,2-5,All,Untreated Dental Caries in Primary Teeth,11.8,1.4,9.0,15.1,,,,,
2013-2014,Male,2-5,All,Untreated Dental Caries in Primary Teeth,10.9,1.8,7.3,15.5,,,,,
2013-2014,Female,2-5,All,Untreated Dental Caries in Primary Teeth,12.8,2.0,8.8,17.8,,,,,
2013-2014,All,6-11,All,Untreated Dental Caries in Primary Teeth,15.3,1.8,11.6,19.6,,,,,
2013-2014,Male,6-11,All,Untreated Dental Caries in Primary Teeth,15.0,2.3,10.4,20.8,,,,,
2013-2014,Female,6-11,All,Untreated Dental Caries in Primary Teeth,15.6,3.0,9.8,23.1,,,,,
2013-2014,All,2-11,Non-Hispanic White,Untreated Dental Caries in Primary Teeth,10.8,1.8,7.2,15.3,,,,,
2013-2014,All,2-11,Non-Hispanic Black,Untreated Dental Caries in Primary Teeth,18.0,1.9,14.0,22.6,,,,,
2013-2014,All,2-11,Non-Hispanic Asian,Untreated Dental Caries in Primary Teeth,15.5,3.3,9.1,24.1,,,,,
2013-2014,All,2-11,Hispanic,Untreated Dental Caries in Primary Teeth,18.5,2.0,14.3,23.3,,,,,
2013-2014,All,2-11,Mexican American,Untreated Dental Caries in Primary Teeth,19.7,3.1,13.3,27.6,,,,,
2013-2014,All,6-19,All,Untreated Dental Caries in Permanent Teeth,15.2,1.3,12.4,18.3,,,,,
2013-2014,Male,6-19,All,Untreated Dental Caries in Permanent Teeth,15.9,1.6,12.6,19.7,,,,,
2013-2014,Female,6-19,All,Untreated Dental Caries in Permanent Teeth,14.4,1.4,11.4,17.7,,,,,
2013-2014,All,6-11,All,Untreated Dental Caries in Permanent Teeth,6.4,0.9,4.6,8.5,,,,,
2013-2014,Male,6-11,All,Untreated Dental Caries in Permanent Teeth,5.8,1.1,3.7,8.5,,,,,
2013-2014,Female,6-11,All,Untreated Dental Caries in Permanent Teeth,7.0,1.3,4.5,10.4,,,,,
2013-2014,All,12-19,All,Untreated Dental Caries in Permanent Teeth,21.3,2.2,16.9,26.3,,,,,
2013-2014,Male,12-19,All,Untreated Dental Caries in Permanent Teeth,23.0,2.6,17.6,29.1,,,,,
2013-2014,Female,12-19,All,Untreated Dental Caries in Permanent Teeth,19.6,2.5,14.5,25.5,,,,,
2013-2014,All,6-19,Non-Hispanic White,Untreated Dental Caries in Permanent Teeth,15.6,2.1,11.4,20.6,,,,,
2013-2014,All,6-19,Non-Hispanic Black,Untreated Dental Caries in Permanent Teeth,17.3,2.3,12.6,22.8,,,,,
2013-2014,All,6-19,Non-Hispanic Asian,Untreated Dental Caries in Permanent Teeth,9.1,1.8,5.6,13.6,,,,,
2013-2014,All,6-19,Hispanic,Untreated Dental Caries in Permanent Teeth,15.7,2.4,10.9,21.6,,,,,
2013-2014,All,6-19,Mexican American,Untreated Dental Caries in Permanent Teeth,18.0,2.3,13.3,23.6,,,,,
2013-2014,All,20-69,All,Untreated Dental Caries in Permanent Teeth,31.2,1.5,28.0,34.6,,,,,
2013-2014,Male,20-69,All,Untreated Dental Caries in Permanent Teeth,33.6,1.7,30.0,37.4,,,,,
2013-2014,Female,20-69,All,Untreated Dental Caries in Permanent Teeth,29.0,1.9,24.9,33.3,,,,,
2013-2014,All,20-29,All,Untreated Dental Caries in Permanent Teeth,34.8,1.8,31.1,38.7,,,,,
2013-2014,Male,20-29,All,Untreated Dental Caries in Permanent Teeth,36.4,3.3,29.5,43.8,,,,,
2013-2014,Female,20-29,All,Untreated Dental Caries in Permanent Teeth,33.2,2.7,27.4,39.4,,,,,
2013-2014,All,30-39,All,Untreated Dental Caries in Permanent Teeth,35.5,3.6,28.0,43.7,,,,,
2013-2014,Male,30-39,All,Untreated Dental Caries in Permanent Teeth,37.9,4.6,28.0,48.5,,,,,
2013-2014,Female,30-39,All,Untreated Dental Caries in Permanent Teeth,33.3,4.1,24.6,42.8,,,,,
2013-2014,All,40-49,All,Untreated Dental Caries in Permanent Teeth,33.9,2.3,29.1,39.0,,,,,
2013-2014,Male,40-49,All,Untreated Dental Caries in Permanent Teeth,34.9,4.1,26.2,44.3,,,,,
2013-2014,Female,40-49,All,Untreated Dental Caries in Permanent Teeth,33.0,2.0,28.8,37.5,,,,,
2013-2014,All,50-59,All,Untreated Dental Caries in Permanent Teeth,27.8,2.5,22.5,33.5,,,,,
2013-2014,Male,50-59,All,Untreated Dental Caries in Permanent Teeth,30.6,2.8,24.6,37.1,,,,,
2013-2014,Female,50-59,All,Untreated Dental Caries in Permanent Teeth,24.9,2.5,19.7,30.8,,,,,
2013-2014,All,60-69,All,Untreated Dental Caries in Permanent Teeth,25.9,2.5,20.7,31.7,,,,,
2013-2014,Male,60-69,All,Untreated Dental Caries in Permanent Teeth,31.0,3.7,23.2,39.7,,,,,
2013-2014,Female,60-69,All,Untreated Dental Caries in Permanent Teeth,21.4,2.5,16.2,27.4,,,,,
2013-2014,All,20-69,Non-Hispanic White,Untreated Dental Caries in Permanent Teeth,27.1,4.3,24.1,30.2,,,,,
2013-2014,All,20-69,Non-Hispanic Black,Untreated Dental Caries in Permanent Teeth,48.4,10.0,41.1,55.8,,,,,
2013-2014,All,20-69,Non-Hispanic Asian,Untreated Dental Caries in Permanent Teeth,22.5,2.1,18.1,27.5,,,,,
2013-2014,All,20-69,Hispanic,Untreated Dental Caries in Permanent Teeth,38.8,2.6,35.9,41.8,,,,,
2013-2014,All,20-69,Mexican American,Untreated Dental Caries in Permanent Teeth,41.1,1.4,37.3,45.0,,,,,
2015-2016,All,2-11,All,Total Dental Caries in Primary Teeth,38.1,2.3,33.3,43.1,,,,,
2015-2016,Male,2-11,All,Total Dental Caries in Primary Teeth,38.7,3.0,32.3,45.3,,,,,
2015-2016,Female,2-11,All,Total Dental Caries in Primary Teeth,37.5,2.4,32.4,42.8,,,,,
2015-2016,All,2-5,All,Total Dental Caries in Primary Teeth,21.4,2.7,15.9,27.7,,,,,
2015-2016,Male,2-5,All,Total Dental Caries in Primary Teeth,23.9,3.5,16.8,32.3,,,,,
2015-2016,Female,2-5,All,Total Dental Caries in Primary Teeth,18.6,2.8,13.1,25.3,,,,,
2015-2016,All,6-11,All,Total Dental Caries in Primary Teeth,49.9,2.7,44.0,55.8,,,,,
2015-2016,Male,6-11,All,Total Dental Caries in Primary Teeth,49.0,3.3,41.8,56.3,,,,,
2015-2016,Female,6-11,All,Total Dental Caries in Primary Teeth,50.8,3.0,44.3,57.3,,,,,
2015-2016,All,2-11,Non-Hispanic White,Total Dental Caries in Primary Teeth,31.6,2.0,27.4,36.0,,,,,
2015-2016,All,2-11,Non-Hispanic Black,Total Dental Caries in Primary Teeth,40.3,1.7,35.7,44.9,,,,,
2015-2016,All,2-11,Non-Hispanic Asian,Total Dental Caries in Primary Teeth,34.9,5.5,22.6,48.9,,,,,
2015-2016,All,2-11,Hispanic,Total Dental Caries in Primary Teeth,51.3,4.5,41.3,61.2,,,,,
2015-2016,All,2-11,Mexican American,Total Dental Caries in Primary Teeth,55.7,4.2,46.2,65.0,,,,,
2015-2016,All,6-19,All,Total Dental Caries in Permanent Teeth,36.8,1.9,32.8,41.0,,,,,
2015-2016,Male,6-19,All,Total Dental Caries in Permanent Teeth,34.2,2.1,29.8,38.9,,,,,
2015-2016,Female,6-19,All,Total Dental Caries in Permanent Teeth,39.5,1.9,35.4,43.8,,,,,
2015-2016,All,6-11,All,Total Dental Caries in Permanent Teeth,15.4,1.6,12.1,19.1,,,,,
2015-2016,Male,6-11,All,Total Dental Caries in Permanent Teeth,11.9,1.9,8.1,16.7,,,,,
2015-2016,Female,6-11,All,Total Dental Caries in Permanent Teeth,19.0,2.1,14.7,23.9,,,,,
2015-2016,All,12-19,All,Total Dental Caries in Permanent Teeth,52.4,2.5,47.0,57.7,,,,,
2015-2016,Male,12-19,All,Total Dental Caries in Permanent Teeth,50.4,3.1,43.6,57.1,,,,,
2015-2016,Female,12-19,All,Total Dental Caries in Permanent Teeth,54.4,3.0,47.8,61.0,,,,,
2015-2016,All,6-19,Non-Hispanic White,Total Dental Caries in Permanent Teeth,32.5,1.9,28.5,36.7,,,,,
2015-2016,All,6-19,Non-Hispanic Black,Total Dental Caries in Permanent Teeth,39.8,3.7,31.5,48.5,,,,,
2015-2016,All,6-19,Non-Hispanic Asian,Total Dental Caries in Permanent Teeth,39.3,3.6,31.4,47.6,,,,,
2015-2016,All,6-19,Hispanic,Total Dental Caries in Permanent Teeth,44.8,3.6,36.9,52.9,,,,,
2015-2016,All,6-19,Mexican American,Total Dental Caries in Permanent Teeth,48.7,4.2,39.6,58.0,,,,,
2015-2016,All,20-69,All,Total Dental Caries in Permanent Teeth,90.9,0.7,89.4,92.2,,,,,
2015-2016,Male,20-69,All,Total Dental Caries in Permanent Teeth,89.3,1.1,86.7,91.4,,,,,
2015-2016,Female,20-69,All,Total Dental Caries in Permanent Teeth,92.3,0.6,91.0,93.6,,,,,
2015-2016,All,20-29,All,Total Dental Caries in Permanent Teeth,80.7,1.8,76.6,84.3,,,,,
2015-2016,Male,20-29,All,Total Dental Caries in Permanent Teeth,79.4,1.7,75.2,83.1,,,,,
2015-2016,Female,20-29,All,Total Dental Caries in Permanent Teeth,82.0,2.4,76.3,86.8,,,,,
2015-2016,All,30-39,All,Total Dental Caries in Permanent Teeth,85.6,1.2,82.9,88.1,,,,,
2015-2016,Male,30-39,All,Total Dental Caries in Permanent Teeth,88.2,1.5,84.6,91.3,,,,,
2015-2016,Female,30-39,All,Total Dental Caries in Permanent Teeth,82.8,2.5,76.7,87.8,,,,,
2015-2016,All,40-49,All,Total Dental Caries in Permanent Teeth,93.9,1.2,90.9,96.2,,,,,
2015-2016,Male,40-49,All,Total Dental Caries in Permanent Teeth,90.5,2.2,84.6,94.7,,,,,
2015-2016,Female,40-49,All,Total Dental Caries in Permanent Teeth,97.2,0.9,94.5,98.8,,,,,
2015-2016,All,50-59,All,Total Dental Caries in Permanent Teeth,95.6,0.7,93.9,96.9,,,,,
2015-2016,Male,50-59,All,Total Dental Caries in Permanent Teeth,95.6,0.8,93.1,97.4,,,,,
2015-2016,Female,50-59,All,Total Dental Caries in Permanent Teeth,95.5,0.8,93.0,97.3,,,,,
2015-2016,All,60-69,All,Total Dental Caries in Permanent Teeth,96.6,0.9,94.0,98.3,,,,,
2015-2016,Male,60-69,All,Total Dental Caries in Permanent Teeth,96.6,1.3,92.5,98.8,,,,,
2015-2016,Female,60-69,All,Total Dental Caries in Permanent Teeth,96.5,1.2,92.7,98.7,,,,,
2015-2016,All,20-69,Non-Hispanic White,Total Dental Caries in Permanent Teeth,93.1,2.1,91.5,94.5,,,,,
2015-2016,All,20-69,Non-Hispanic Black,Total Dental Caries in Permanent Teeth,86.9,2.3,84.7,88.9,,,,,
2015-2016,All,20-69,Non-Hispanic Asian,Total Dental Caries in Permanent Teeth,84.0,2.3,78.5,88.5,,,,,
2015-2016,All,20-69,Hispanic,Total Dental Caries in Permanent Teeth,87.6,3.6,83.1,91.2,,,,,
2015-2016,All,20-69,Mexican American,Total Dental Caries in Permanent Teeth,85.3,2.4,79.2,90.2,,,,,
2015-2016,All,60 and over,All,Complete Tooth Loss,11.5,15.0,8.7,14.7,,,,,
2015-2016,Male,60 and over,All,Complete Tooth Loss,11.8,15.0,8.2,16.3,,,,,
2015-2016,Female,60 and over,All,Complete Tooth Loss,11.2,15.0,8.1,14.9,,,,,
2015-2016,All,60-69,All,Complete Tooth Loss,7.2,15.0,5.3,9.6,,,,,
2015-2016,Male,60-69,All,Complete Tooth Loss,7.5,15.0,4.1,12.5,,,,,
2015-2016,Female,60-69,All,Complete Tooth Loss,6.9,15.0,3.9,11.3,,,,,
2015-2016,All,70 and over,All,Complete Tooth Loss,16.4,15.0,11.7,22.0,,,,,
2015-2016,Male,70 and over,All,Complete Tooth Loss,17.3,15.0,12.7,22.6,,,,,
2015-2016,Female,70 and over,All,Complete Tooth Loss,15.7,15.0,9.9,23.1,,,,,
2015-2016,All,60 and over,Non-Hispanic White,Complete Tooth Loss,9.6,15.0,6.3,13.7,,,,,
2015-2016,All,60 and over,Non-Hispanic Black,Complete Tooth Loss,23.9,12.0,18.7,29.7,,,,,
2015-2016,All,60 and over,Non-Hispanic Asian,Complete Tooth Loss,6.1,10.0,2.6,12.1,Estimate does not meet National Center for Health Statistics standards of reliability,,,,
2015-2016,All,60 and over,Hispanic,Complete Tooth Loss,11.5,14.0,8.6,15.0,,,,,
2015-2016,All,60 and over,Mexican American,Complete Tooth Loss,8.8,10.0,5.8,12.7,,,,,
2015-2016,All,2-11,All,Untreated Dental Caries in Primary Teeth,12.0,1.2,9.6,14.7,,,,,
2015-2016,Male,2-11,All,Untreated Dental Caries in Primary Teeth,12.7,1.5,9.6,16.3,,,,,
2015-2016,Female,2-11,All,Untreated Dental Caries in Primary Teeth,11.3,1.2,8.9,14.1,,,,,
2015-2016,All,2-5,All,Untreated Dental Caries in Primary Teeth,8.8,1.3,6.1,12.1,,,,,
2015-2016,Male,2-5,All,Untreated Dental Caries in Primary Teeth,11.4,1.9,7.7,16.1,,,,,
2015-2016,Female,2-5,All,Untreated Dental Caries in Primary Teeth,6.0,1.3,3.5,9.4,,,,,
2015-2016,All,6-11,All,Untreated Dental Caries in Primary Teeth,14.3,1.3,11.6,17.4,,,,,
2015-2016,Male,6-11,All,Untreated Dental Caries in Primary Teeth,13.5,1.7,10.2,17.5,,,,,
2015-2016,Female,6-11,All,Untreated Dental Caries in Primary Teeth,15.1,1.8,11.4,19.4,,,,,
2015-2016,All,2-11,Non-Hispanic White,Untreated Dental Caries in Primary Teeth,11.1,1.6,8.0,14.9,,,,,
2015-2016,All,2-11,Non-Hispanic Black,Untreated Dental Caries in Primary Teeth,16.1,2.7,10.6,23.0,,,,,
2015-2016,All,2-11,Non-Hispanic Asian,Untreated Dental Caries in Primary Teeth,8.8,1.8,4.7,14.6,,,,,
2015-2016,All,2-11,Hispanic,Untreated Dental Caries in Primary Teeth,11.7,1.4,8.9,15.0,,,,,
2015-2016,All,2-11,Mexican American,Untreated Dental Caries in Primary Teeth,11.4,1.9,7.5,16.3,,,,,
2015-2016,All,6-19,All,Untreated Dental Caries in Permanent Teeth,9.0,0.9,7.2,11.0,,,,,
2015-2016,Male,6-19,All,Untreated Dental Caries in Permanent Teeth,8.8,1.1,6.6,11.5,,,,,
2015-2016,Female,6-19,All,Untreated Dental Caries in Permanent Teeth,9.2,1.1,7.0,11.7,,,,,
2015-2016,All,6-11,All,Untreated Dental Caries in Permanent Teeth,4.1,0.6,2.9,5.6,,,,,
2015-2016,Male,6-11,All,Untreated Dental Caries in Permanent Teeth,3.3,0.7,1.9,5.3,,,,,
2015-2016,Female,6-11,All,Untreated Dental Caries in Permanent Teeth,4.9,0.9,3.2,7.2,,,,,
2015-2016,All,12-19,All,Untreated Dental Caries in Permanent Teeth,12.5,1.4,9.7,15.9,,,,,
2015-2016,Male,12-19,All,Untreated Dental Caries in Permanent Teeth,12.8,2.0,8.9,17.7,,,,,
2015-2016,Female,12-19,All,Untreated Dental Caries in Permanent Teeth,12.3,1.5,9.2,15.9,,,,,
2015-2016,All,6-19,Non-Hispanic White,Untreated Dental Caries in Permanent Teeth,7.8,1.0,5.7,10.3,,,,,
2015-2016,All,6-19,Non-Hispanic Black,Untreated Dental Caries in Permanent Teeth,12.3,1.9,8.4,17.1,,,,,
2015-2016,All,6-19,Non-Hispanic Asian,Untreated Dental Caries in Permanent Teeth,8.0,1.5,4.9,12.3,,,,,
2015-2016,All,6-19,Hispanic,Untreated Dental Caries in Permanent Teeth,9.9,1.6,6.6,14.0,,,,,
2015-2016,All,6-19,Mexican American,Untreated Dental Caries in Permanent Teeth,11.1,2.5,6.3,17.6,,,,,
